Timestamp,SourceIP,DestinationIP,SourcePort,DestinationPort,FirstAckTimestamp,FinTimestamp,TotalLength,PacketsFromServer,PacketsPerTotalTime,DOS
1499262271.439303,172.16.0.1,192.168.10.50,45972,80,0.013007,935.1379949999999,9491,57,0.05560676635751498,Ataque
1499281442.505666,192.168.10.8,23.61.187.27,61111,80,0.039077999999999995,6.036498,12,4,0.4969768895806807,Normal
1499278963.776376,192.168.10.5,172.217.10.234,60791,80,0.03713,5.187962000000001,12,4,0.5782617528809963,Normal
1499282498.277198,192.168.10.12,52.1.125.147,44010,443,0.050778,60.512981999999994,212,16,0.2478806944268587,Normal
1499267022.256798,192.168.10.25,172.217.12.130,51792,443,0.036673000000000004,31.06475,144,10,0.2897174450140432,Normal
1499261159.8897212,172.16.0.1,192.168.10.50,38006,80,0.0006389999999999999,2864.233214,25442,58,0.01990061414042383,Ataque
1499262105.212512,192.168.10.15,172.217.10.38,54084,80,0.036304,5.496665,12,4,0.5457854899288933,Normal
1499260064.197948,172.16.0.1,192.168.10.50,60784,80,0.0008380000000000001,3826.7323409999995,6703,66,0.01698577120317075,Ataque
1499263876.089052,192.168.10.51,54.235.219.90,42421,443,0.051075,60.835407999999994,200,15,0.2301291379520295,Normal
1499262272.314289,172.16.0.1,192.168.10.50,47596,80,0.012001999999999999,935.164108,7994,52,0.0502585584689698,Ataque
1499263288.560891,192.168.10.9,54.209.219.138,16877,443,0.050532,61.750696999999995,18,14,0.21052393951116044,Normal
1499282050.647913,192.168.10.8,172.217.6.206,61279,80,0.036306,118.05956299999998,23,18,0.14399511202663015,Normal
1499257431.1704051,192.168.10.15,52.7.12.40,50018,443,0.046781,10.700791,12,8,0.6541572487491814,Normal
1499260939.687729,172.16.0.1,192.168.10.50,35852,80,7.01088,3035.378827,11012,64,0.020755234713904128,Ataque
1499260473.828107,192.168.10.5,52.4.91.106,50702,443,0.048283,0.329052,12,7,18.23420006564312,Normal
1499259306.340528,192.168.10.5,192.168.10.3,50519,445,0.00011599999999999999,3600.0,1472,5,-1000.0,Normal
1499283688.9046009,192.168.10.9,104.97.117.153,23272,443,0.024066999999999998,5.476562,24,5,0.9129815384177152,Normal
1499275961.387645,192.168.10.8,34.225.175.93,57803,80,0.051525,6.728495,24,6,0.89172987421407,Normal
1499262821.323284,192.168.10.9,199.187.116.153,16673,443,0.10253499999999999,6.145314,12,6,0.8136280749852653,Normal
1499267309.123029,192.168.10.19,174.35.73.94,53582,80,0.023273,5.046315,68,4,0.5944932094013154,Normal
1499258109.376265,192.168.10.8,198.8.70.211,50417,80,0.027824,11.05251,13,6,0.5428631143514006,Normal
1499279055.836917,192.168.10.19,23.208.162.230,42195,443,0.024513,117.07528899999998,488,38,0.32457746057752634,Normal
1499262002.501146,192.168.10.15,162.208.20.178,53904,80,0.084884,5.850839,12,4,0.512746975262864,Normal
1499277053.350692,192.168.10.8,104.97.73.166,59933,80,0.023534,6.0309919999999995,12,4,0.4974306051143824,Normal
1499260829.138043,192.168.10.16,104.31.10.172,39164,443,0.015221,0.245252,32,10,36.69694844486487,Normal
1499259149.7199051,172.16.0.1,192.168.10.50,55846,80,0.0006309999999999999,4090.9185429999998,22603,60,0.013444413380977948,Ataque
1499274118.8868089,192.168.10.12,206.31.51.74,45720,443,0.028242000000000003,5.441681,104,7,1.1026004648196028,Normal
1499266147.193932,192.168.10.15,23.50.75.27,55766,80,0.023513,66.52367,18,11,0.16535467751553698,Normal
1499268998.860898,192.168.10.51,31.13.69.203,59471,443,0.034484,647.674016,1088,89,0.13741480714273396,Normal
1499260037.660931,192.168.10.17,172.217.10.226,56114,443,0.037276,115.521629,236,18,0.1471585896698184,Normal
1499262270.532357,172.16.0.1,192.168.10.50,44278,80,0.01099,2086.4663960000003,12352,55,0.025881078220825558,Ataque
1499262493.1657891,192.168.10.5,157.240.17.18,50949,443,0.061741,0.36186999999999997,12,6,16.580539972918448,Normal
1499273529.863793,192.168.10.51,72.21.91.29,38518,80,0.023799,116.045731,224,17,0.1378766789792552,Normal
1499273318.218197,192.168.10.16,52.205.108.233,60772,443,0.047095,61.05311999999999,200,15,0.2293085103595033,Normal
1499260730.708146,192.168.10.15,162.208.22.34,52485,80,0.040037,5.101705,12,5,0.9800645078459066,Normal
1499273076.863761,192.168.10.14,104.27.144.154,54785,443,0.015080000000000001,183.400132,12,72,0.3871316733839647,Normal
